Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Seller Comments
2009 Honda Civic 1.8V AT,"Mira Road, Mumbai",Sep 2009,"1,20,000 km",Petrol + Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh,"Negotiable price as work required on car, please contact for more details. "
2008 Honda Civic 1.8S AT,Kochi,Apr 2008,"1,13,000 km",Petrol + Petrol,Automatic,Third,9.4 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.35 Lakh, 
2012 Honda Civic 1.8V AT Sunroof,"Mayur Vihar Phase III, Delhi",Oct 2012,"1,65,000 km",Petrol + Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4 Lakh, 
2008 Honda Civic 1.8S MT,Lucknow,Dec 2008,"1,00,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2011 Honda Civic 1.8V AT Sunroof,Ahmedabad,Nov 2011,"95,000 km",Petrol + Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.5 Lakh, 
2007 Honda Civic 1.8V MT,"Undri, Pune",Apr 2007,"75,000 km",Petrol + Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.3 Lakh, 
2010 Honda Civic 1.8S MT,"Batala H.O, Batala",Apr 2010,"91,000 km",Petrol + Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2007 Honda Civic 1.8S AT,Mumbai,Jul 2007,"83,000 km",Petrol + Petrol,Automatic,Third,9.4 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 3 Lakh, 
2011 Honda Civic 1.8V AT Sunroof,Pune,Feb 2011,"1,20,000 km",Petrol + Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3 Lakh, 
2008 Honda Civic 1.8V AT,"Pimpri, Pimpri-Chinchwad",Jan 2008,"1,00,000 km",Petrol + Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2008 Honda Civic 1.8V AT,"Katjuridanga, Bankura",Oct 2008,"95,000 km",Petrol + Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2009 Honda Civic 1.8E MT,Asansol,Oct 2009,"63,040 km",Petrol + Petrol,Manual,Second,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.1 Lakh, 
2007 Honda Civic 1.8S AT,Bangalore,Jun 2007,"59,000 km",Petrol,Automatic,First,9.4 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.5 Lakh, 
2020 Honda Civic V CVT Petrol [2019-2020],"Vastrapur, Ahmedabad",Sep 2020,"90,000 km",Petrol + Petrol,Automatic (CVT),First,16.5 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",140 bhp @ 6500 rpm,5 Person,₹ 15 Lakh,3 lacks extra accessories with Honda show room bill 
2011 Honda Civic 1.8V MT Sunroof,"Vile Parle West, Mumbai",Nov 2011,"1,09,000 km",Petrol,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.4 Lakh,3 rd owner Make : Honda Year : 2011 Month : November Model : Civic Varient : 1.8 V MT Fuel : Petrol Mileage : 109000 Transmission : Manual Clutch Condition : Working fine Adjustable Mirror : Yes Tyres : 95 % Engine oil changed in July 23 Radiator cleaned and coolant changed in July 23 
2009 Honda Civic 1.8E MT,Goa,Jan 2009,"70,000 km",Petrol + Petrol,Manual,Third,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.5 Lakh, 
2009 Honda Civic Sport,"Khandsa, Gurgaon",Jun 2009,"77,000 km",Petrol + Petrol,Manual,Second,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 3 Lakh, 
2010 Honda Civic 1.8V AT Sunroof,"Mira Road, Mumbai",Oct 2010,"1,00,000 km",Petrol + Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2010 Honda Civic 1.8S MT,"Othakalmandapam, Coimbatore",Jan 2010,"83,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4 Lakh, 
2009 Honda Civic 1.8V MT,"Tulsi Cinema, Agra",Jul 2009,"1,27,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2009 Honda Civic 1.8S MT,"Chattarpur, Delhi",Nov 2009,"54,000 km",Petrol + Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.5 Lakh, 
2010 Honda Civic 1.8V AT Sunroof,Bharuch,Mar 2010,"2,00,000 km",Petrol + CNG,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.16 Lakh, 
2006 Honda Civic 1.8V AT,"Wazirganj, Lucknow",Jan 2006,"2,00,050 km",Petrol,Automatic,4 or More,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.05 Lakh, 
2010 Honda Civic 1.8V MT Sunroof,"Sector 112, Gurgaon",Dec 2010,"58,800 km",Petrol + CNG,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.5 Lakh, 
2007 Honda Civic 1.8S MT,"Jhotwara, Jaipur",Aug 2007,"1,70,000 km",Petrol,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2012 Honda Civic 1.8V MT Sunroof,"NIBM Annexe, Pune",Jan 2012,"62,000 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4.5 Lakh, 
2011 Honda Civic 1.8V MT Sunroof,"Raiya, Rajkot",Feb 2011,"1,00,000 km",Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2007 Honda Civic 1.8S MT,"Railway Road, Ambala Cantt",May 2007,"28,500 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2009 Honda Civic 1.8V MT,"Safdarjang Enclave, Delhi",Jun 2009,"85,000 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.75 Lakh, 
2008 Honda Civic 1.8E MT,"Khoni Pagadyacha Pada, Dombivali",Nov 2008,"1,75,000 km",Petrol + CNG,Manual,4 or More,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 1.8 Lakh, 
2006 Honda Civic 1.8S AT,Vadodara,Oct 2006,"45,000 km",Petrol,Automatic,Second,9.4 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.9 Lakh, 
2013 Honda Civic 1.8V AT Sunroof,"Bodakdev, Ahmedabad",Aug 2013,"66,120 km",Petrol,Automatic,First,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 5 Lakh, 
2009 Honda Civic 1.8V AT,"Hauz Khas, Delhi",Sep 2009,"1,28,000 km",Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3 Lakh, 
2006 Honda Civic 1.8S MT,"Whitefield Road, Bangalore",Oct 2006,"76,000 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4.8 Lakh, 
